SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ICFL,N1,721.0,840.0,721.0,802.77,800.0,874.95,382,20-MAR-2020
ICFL,N2,820.0,884.0,800.0,802.78,800.0,884.0,1086,20-MAR-2020
ICFL,N3,801.0,848.0,705.0,836.0,836.0,852.6,413,20-MAR-2020
ICFL,N4,859.0,859.0,701.0,705.0,705.0,860.0,158,20-MAR-2020
ICFL,N5,761.0,761.0,761.0,761.0,761.0,800.0,22,20-MAR-2020
ICFL,N6,896.0,896.0,802.0,845.0,845.0,897.0,620,20-MAR-2020
ICFL,N7,775.0,775.0,775.0,775.0,775.0,849.0,35,20-MAR-2020
ICFL,N8,819.0,819.0,816.8,817.0,817.0,810.0,25,20-MAR-2020
ICFL,NC,900.0,900.0,890.0,890.0,890.0,905.0,20,20-MAR-2020
ICFL,N1,875.0,875.0,850.0,874.95,874.95,845.91,111,19-MAR-2020
ICFL,N2,884.0,884.0,884.0,884.0,884.0,901.99,5,19-MAR-2020
ICFL,N3,909.0,910.0,851.0,852.6,851.0,920.0,90,19-MAR-2020
ICFL,N5,800.0,800.0,800.0,800.0,800.0,800.0,10,19-MAR-2020
ICFL,N6,897.0,897.0,897.0,897.0,897.0,897.0,30,19-MAR-2020
ICFL,N7,849.0,849.0,849.0,849.0,849.0,849.0,10,19-MAR-2020
ICFL,N9,930.1,990.0,930.1,990.0,990.0,1022.6,100,19-MAR-2020
ICFL,NI,900.0,900.0,900.0,900.0,900.0,998.95,200,19-MAR-2020
ICFL,N1,816.0,890.0,804.0,845.91,853.0,899.9,161,18-MAR-2020
ICFL,N2,900.0,948.6,900.0,901.99,948.6,941.0,118,18-MAR-2020
ICFL,N4,860.0,860.0,860.0,860.0,860.0,806.0,10,18-MAR-2020
ICFL,N6,897.0,897.0,897.0,897.0,897.0,899.0,7,18-MAR-2020
ICFL,N7,705.05,849.0,705.05,849.0,849.0,750.0,650,18-MAR-2020
ICFL,N8,810.0,810.0,810.0,810.0,810.0,796.95,15,18-MAR-2020
ICFL,N9,1020.0,1022.6,1015.0,1022.6,1022.6,1035.0,389,18-MAR-2020
ICFL,ND,950.0,950.0,950.0,950.0,950.0,1000.0,8,18-MAR-2020
ICFL,NF,710.0,710.0,710.0,710.0,710.0,850.0,5,18-MAR-2020
ICFL,N2,900.64,941.0,900.64,941.0,941.0,924.03,83,17-MAR-2020
ICFL,N3,905.0,920.0,905.0,920.0,920.0,925.0,242,17-MAR-2020
ICFL,N4,806.0,826.0,806.0,806.0,806.0,806.0,51,17-MAR-2020
ICFL,N5,851.0,851.0,800.0,800.0,800.0,872.0,179,17-MAR-2020
ICFL,N6,949.0,949.0,899.0,899.0,899.0,855.0,133,17-MAR-2020
ICFL,N8,810.0,810.0,796.95,796.95,796.95,805.0,14,17-MAR-2020
ICFL,NC,920.0,920.0,905.0,905.0,905.0,920.0,10,17-MAR-2020
ICFL,N1,929.9,929.9,899.9,899.9,899.9,899.0,12,16-MAR-2020
ICFL,N2,917.9,925.0,917.9,924.03,924.0,918.0,64,16-MAR-2020
ICFL,N3,925.0,925.0,925.0,925.0,925.0,911.0,28,16-MAR-2020
ICFL,N4,820.0,820.0,806.0,806.0,806.0,800.0,10,16-MAR-2020
ICFL,N5,852.0,887.0,852.0,872.0,872.0,899.95,26,16-MAR-2020
ICFL,N6,885.0,885.0,855.0,855.0,855.0,901.6,200,16-MAR-2020
